job_name,company_name,companytype_text,providesalary_text,workarea_text,jobwelf,updatedate,attribute_text
战略专家,美团,上市公司,,北京-朝阳区,,10-14,"['北京-朝阳区', '5-7年经验', '招1人']"
45352-研发项目管理组长,深圳市腾讯计算机系统有限公司,民营公司,,深圳,,10-14,"['深圳', '3-4年经验', '本科', '招1人']"
策略专员-账号,腾讯科技（北京）有限公司,民营公司,1-2万/月,北京-海淀区,六险一金 餐饮补贴 交通补贴 专业培训 年终奖金 班次津贴,10-14,"['北京-海淀区', '1年经验', '本科', '招8人']"
销售助理,新浪上海,合资,6-8千/月,上海-静安区,五险一金 补充公积金 节日福利 定期体检,10-14,"['上海-静安区', '无需经验', '本科', '招若干人']"
城市经理,美团,上市公司,3-4.5万/月,天津,,10-14,"['天津', '5-7年经验', '大专', '招1人']"
国企高薪诚聘电子商务,太平洋保险在线服务科技有限公司山东分公司,国企,4-8千/月,淄博,五险一金 交通补贴 餐饮补贴 年终奖金 绩效奖金 企业年金 商业保险 周末双休 职工餐厅 带薪培训,10-14,"['淄博', '无需经验', '大专', '招20人']"
市场营销经理,网易,上市公司,2-3.5万/月,上海-浦东新区,五险一金 包吃 包三餐 带薪年假 交通补贴 定期体检 商业保险 年终奖金,10-14,"['上海-浦东新区', '5-7年经验', '本科', '招1人']"
天猫文教-商家运营专家-杭州,阿里巴巴集团,上市公司,,杭州,,10-14,"['杭州', '5-7年经验', '本科', '招若干人']"
T服务支持工程师_CI,博世（中国）投资有限公司,外资（欧美）,1.5-2万/月,上海,五险一金 年终奖金,10-14,"['上海', '3-4年经验', '本科', '招1人']"
客服专员,北京昆仑万维科技股份有限公司,上市公司,3-4千/月,天津-西青区,五险一金 绩效奖金 弹性工作 定期体检,10-14,"['天津-西青区', '1年经验', '大专', '招4人']"
风控运营主管,字节跳动,民营公司,2-4万/月,合肥,下午茶 六险一金 团队氛围好 带薪休假 扁平管理 用户过亿 餐补 薪资优厚 租房补贴,10-14,"['合肥', '5-7年经验', '本科', '招5人']"
经营分析岗,JD京东商城（武汉分公司）,外资（欧美）,0.8-1.2万/月,武汉-蔡甸区,五险一金 年终奖金 绩效奖金 定期体检 补充医疗保险,10-14,"['武汉-蔡甸区', '3-4年经验', '大专', '招1人']"
前台销售人员,中国联合网络通信有限公司珠海市分公司,国企,7-14万/年,珠海-香洲区,五险一金 年终奖金 商业意外险 重疾险,10-14,"['珠海-香洲区', '1年经验', '中专', '招10人']"
商业拓展岗,京东商城华中分公司,外资（欧美）,0.6-1万/月,长沙-岳麓区,五险一金 绩效奖金 餐饮补贴 节日福利 年终奖金,10-14,"['长沙-岳麓区', '3-4年经验', '大专', '招3人']"
高级产品经理（结算平台）,阅文集团,上市公司,2-4万/月,上海-浦东新区,五险一金 补充医疗保险 补充公积金 弹性工作 年终奖金 绩效奖金 定期体检 员工旅游,10-14,"['上海-浦东新区', '3-4年经验', '本科', '招1人']"
储备客服主管,良品铺子股份有限公司,上市公司,4.5-6千/月,武汉-东西湖区,五险一金 节日福利 带薪年假 14薪 年终奖金 定期体检,10-14,"['武汉-东西湖区', '1年经验', '大专', '招1人']"
营销岗（上海）,达达-京东到家,上市公司,0.8-1.5万/月,上海-浦东新区,做五休二 周末双休 带薪年假 五险一金 节日福利 专业培训 绩效奖金,10-14,"['上海-浦东新区', '2年经验', '大专', '招1人']"
RPO项目客服,“前程无忧”51job.com（上海）,外资（非欧美）,5-9千/月,上海-浦东新区,五险一金 补充医疗保险 定期体检 带薪年假 十三薪 平台稳定 做五休二 免费班车,10-14,"['上海-浦东新区', '无需经验', '大专', '招3人']"
售前-北京(006969),奇安信集团,民营公司,2-2.5万/月,北京-西城区,五险一金 补充医疗保险 餐饮补贴 定期体检 15薪,10-14,"['北京-西城区', '3-4年经验', '大专', '招1人']"
盒马-标品主管（南京奥体中心店）,上海盒马网络科技有限公司,合资,6-8千/月,南京-建邺区,弹性工作 带薪年假 绩效奖金 餐饮补贴 五险一金,10-14,"['南京-建邺区', '大专', '招1人']"
高级客服,北京达佳互联信息技术有限公司,上市公司,6-8千/月,成都-高新区,做五休二 带薪年假 五险一金 交通补贴 住房补贴 加班补贴 餐饮补贴 绩效奖金 节日福利 专业培训,10-14,"['成都-高新区', '1年经验', '大专', '招若干人']"
渠道管理（景区电动车）,同程数科,民营公司,0.7-1万/月,上海-浦东新区,,10-14,"['上海-浦东新区', '1年经验', '大专', '招若干人']"
唯品会MK店员,唯品会（中国）有限公司,上市公司,0.8-1万/月,合肥-蜀山区,五险一金 节日福利 专业培训,10-14,"['合肥-蜀山区', '1年经验', '招1人']"
项目部总经理,盘古集团有限公司,外资（非欧美）,1.5-2.5万/月,济南-章丘区,带薪年假 五险一金 节日福利 绩效奖金 定期体检 交通补贴 股票期权,10-14,"['济南-章丘区', '8-9年经验', '本科', '招1人']"
日语游戏专员实习生,爱奇艺（www.iqiyi.com）,合资,3-4千/月,成都-高新区,免费茶饮 餐饮补贴 交通补贴 加班补贴 季度奖金 内购福利 节日福利 五险一金,10-14,"['成都-高新区', '无需经验', '招若干人']"
项目总监(J11966),易车公司,外资（欧美）,1.5-2万/月,广州,带薪年假 五险一金 交通补贴 专业培训 绩效奖金 周末双休 驾照补贴 购车补贴 旅游基金 做五休二,10-14,"['广州', '3-4年经验', '大专', '招1人']"
大客户销售,北京搜房科技发展有限公司石家庄分公司,上市公司,0.6-1万/月,石家庄,,10-14,"['石家庄', '无需经验', '本科', '招3人']"
直招客服专员（纯售后）,瑞庭网络技术（上海）有限公司,上市公司,0.6-1万/月,上海-浦东新区,带薪培训 团队旅行 节假日福利 五险一金 节日福利 专业培训 高温补贴 绩效奖金,10-14,"['上海-浦东新区', '1年经验', '大专', '招15人']"
渠道销售经理,深圳金蝶互联网金融服务有限公司,外资（欧美）,1-1.5万/月,成都,,10-14,"['成都', '3-4年经验', '本科', '招若干人']"
拼多多/阿里巴巴运营,广州粤基餐具用品有限公司,民营公司,5-8千/月,广州-番禺区,绩效奖金 年终奖金 餐饮补贴 弹性工作,10-14,"['广州-番禺区', '1年经验', '中专', '招若干人']"
杭州7-9K普工简单+有住宿,叮咚买菜,民营公司,6-8千/月,杭州-滨江区,免费工装 晋升空间大 带薪年假 弹性工作 绩效奖金 专业培训 节日福利,10-14,"['杭州-滨江区', '无需经验', '招10人']"
销售经理+周末双休（6000-8000）,南京搜才信息技术有限公司,民营公司,6-8千/月,南京-溧水区,,10-14,"['南京-溧水区', '无需经验', '大专', '招若干人']"
包住+销售+底薪6000,贝壳找房（南京）科技有限公司,上市公司,0.8-1万/月,南京-建邺区,弹性工作 带薪年假 全勤奖 节日福利 专业培训 住房补贴 高温补贴 通讯补贴,10-14,"['南京-建邺区', '无需经验', '大专', '招8人']"
高薪过万网电管家13000,水滴保险经纪有限公司,上市公司,1-1.5万/月,武汉-洪山区,做五休二 做一休一 周末双休 弹性工作 带薪年假 五险一金 专业培训 节日福利,10-14,"['武汉-洪山区', '1年经验', '招30人']"
私域运营总监,广州若羽臣科技股份有限公司,上市公司,3-4万/月,广州,五险一金 员工旅游 弹性工作 绩效奖金 餐饮补贴 定期体检,10-14,"['广州', '5-7年经验', '本科', '招若干人']"
商品专员,上海百秋电子商务有限公司,民营公司,1-1.5万/月,上海-长宁区,,10-14,"['上海-长宁区', '2年经验', '大专', '招3人']"
7K电话回访销售（住宿+五险一金+多资源）,绿瘦健康产业集团股份有限公司,民营公司,0.8-1万/月,广州-荔湾区,带薪年假 五险一金 包住宿 全勤奖 节日福利 免费班车 餐饮补贴 专业培训,10-14,"['广州-荔湾区', '无需经验', '高中', '招10人']"
销售专员 无责底薪六千起,贝壳找房·厦门站,上市公司,0.8-1万/月,厦门-思明区,,10-14,"['厦门-思明区', '无需经验', '大专', '招5人']"
电商运营组长（天猫/拼多多）,宝易科技（深圳）集团有限公司,民营公司,1-1.5万/月,深圳-龙华区,弹性工作 专业培训 绩效奖金 加班补贴 五险一金 员工旅游 带薪年假 节日福利,10-14,"['深圳-龙华区', '3-4年经验', '大专', '招若干人']"
批发平台用户招商,大健云仓科技（苏州）有限公司,外资（欧美）,2.3-4.5万/月,广州-天河区,,10-14,"['广州-天河区', '3-4年经验', '大专', '招5人']"
电商美工,东莞市悦和电子商务有限公司,民营公司,5.5-9千/月,东莞-茶山镇,年底双薪 包吃包住 带薪年假 员工旅游 购买社保 专业培训 绩效奖金,10-14,"['东莞-茶山镇', '1年经验', '大专', '招3人']"
淘宝在线客服提供食宿缴纳五险,上海恒印影像科技有限公司,民营公司,4-8千/月,武汉-东西湖区,全勤奖 五险一金 绩效奖金 节日福利 弹性工作,10-14,"['武汉-东西湖区', '1年经验', '初中及以下', '招5人']"
高薪拼多多运营,武汉雅琴润泽商贸有限公司,创业公司,0.8-1万/月,武汉-汉阳区,,10-14,"['武汉-汉阳区', '1年经验', '大专', '招1人']"
亚马逊运营,广州迈野网络科技有限公司,民营公司,4-8千/月,广州-白云区,弹性工作 带薪年假 绩效奖金 全勤奖 节日福利 专业培训 餐饮补贴 住房补贴 员工旅游 社保,10-14,"['广州-白云区', '1年经验', '大专', '招1人']"
亚马逊运营专员（精品美国站）,深圳市源创锦科技有限公司,民营公司,0.8-1.3万/月,深圳-龙岗区,员工旅游 绩效奖金 年终奖金 团队聚餐 节日福利 专业培训 带薪年假,10-14,"['深圳-龙岗区', '1年经验', '大专', '招3人']"
淘宝美工-包吃住,广州可可里电子商务有限公司,民营公司,3-5千/月,广州-白云区,包三餐 包住宿 住房补贴 社保 生日会,10-14,"['广州-白云区', '1年经验', '招若干人']"
29年上市公司慧聪网诚聘销售代表,济南润正信息科技有限公司,民营公司,0.8-1万/月,济南,周末双休 带薪年假 五险一金 全勤奖 节日福利 弹性工作 绩效奖金 专业培训,10-14,"['济南', '1年经验', '大专', '招6人']"
视频美工,上海次方信息技术有限公司,民营公司,4-7千/月,常州-新北区,五险一金 年终奖金 周末双休 带薪年假 节日福利 免费班车,10-14,"['常州-新北区', '2年经验', '大专', '招1人']"
跨境电商运营,广州佳定信息科技有限公司,民营公司,0.5-1万/月,广州-天河区,年终双薪 五险社保 全勤奖 专业培训 大小周,10-14,"['广州-天河区', '无需经验', '大专', '招8人']"
eBay销售,深圳乐能电子有限公司,合资,0.7-1.1万/月,深圳-龙华区,员工旅游 出国机会 绩效奖金 年终奖金 定期体检 弹性工作 餐饮补贴 专业培训 补充医疗保险,10-14,"['深圳-龙华区', '1年经验', '大专', '招2人']"
